"INSEE_COM","Fibre_it","annee"
"01232",0,2020
"01232",0,2021
"01232",0,2022
"01232",0,2023
"01232",0,2024
"01233",1,2018
"01233",1,2019
"01233",1,2020
"01233",1,2021
"01233",1,2022
"01233",1,2023
"01233",1,2024
"01234",1,2018
"01234",1,2019
"01234",1,2020
"01234",1,2021
"01234",1,2022
"01234",1,2023
"01234",1,2024
"01235",0,2018
"01235",0,2019
"01235",0,2020
"01235",0,2021
"01235",0,2022
"01235",0,2023
"01235",0,2024
"01236",0,2018
"01236",0,2019
"01236",0,2020
"01236",0,2021
"01236",0,2022
"01236",0,2023
"01236",1,2024
"01237",0,2018
"01237",1,2019
"01237",1,2020
"01237",1,2021
"01237",1,2022
"01237",1,2023
"01237",1,2024
"01238",0,2018
"01238",0,2019
"01238",0,2020
"01238",0,2021
"01238",0,2022
"01238",0,2023
"01238",1,2024
"01239",0,2018
"01239",0,2019
"01239",0,2020
"01239",0,2021
"01239",0,2022
"01239",1,2023
"01239",1,2024
"01240",0,2018
"01240",0,2019
"01240",0,2020
"01240",0,2021
"01240",0,2022
"01240",0,2023
"01240",1,2024
"01241",0,2018
"01241",1,2019
"01241",1,2020
"01241",1,2021
"01241",1,2022
"01241",1,2023
"01241",1,2024
"01242",0,2018
"01242",0,2019
"01242",0,2020
"01242",0,2021
"01242",1,2022
"01242",1,2023
"01242",1,2024
"01243",0,2018
"01243",0,2019
"01243",0,2020
"01243",0,2021
"01243",0,2022
"01243",0,2023
"01243",1,2024
"01244",0,2018
"01244",0,2019
"01244",0,2020
"01244",0,2021
"01244",0,2022
"01244",1,2023
"01244",1,2024
"01245",0,2018
"01245",0,2019
"01245",0,2020
"01245",0,2021
"01245",0,2022
"01245",0,2023
"01245",0,2024
"01246",0,2018
"01246",0,2019
"01246",0,2020
"01246",0,2021
"01246",0,2022
"01246",0,2023
"01246",1,2024
"01247",0,2018
"01247",0,2019
"01247",0,2020
"01247",0,2021
"01247",0,2022
"01247",0,2023
"01247",0,2024
"01248",1,2018
"01248",1,2019
"01248",1,2020
"01248",1,2021
"01248",1,2022
"01248",1,2023
"01248",1,2024
"01249",0,2018
"01249",0,2019
"01249",0,2020
"01249",0,2021
"01249",0,2022
"01249",1,2023
"01249",1,2024
"01250",0,2018
"01250",0,2019
"01250",0,2020
"01250",0,2021
"01250",0,2022
"01250",0,2023
"01250",0,2024
"01252",1,2018
"01252",1,2019
"01252",1,2020
"01252",1,2021
"01252",1,2022
"01252",1,2023
"01252",1,2024
"01254",1,2018
"01254",1,2019
"01254",1,2020
"01254",1,2021
"01254",1,2022
"01254",1,2023
"01254",1,2024
"01255",1,2018
"01255",1,2019
